image_path,grid_label_path
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1007599_RS_386_386RS289112_28920_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1007599_RS_386_386RS289112_28920_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1007600_RS_386_386RS289112_28925_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1007600_RS_386_386RS289112_28925_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1007607_RS_386_386RS289112_28960_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1007607_RS_386_386RS289112_28960_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1007608_RS_386_386RS289112_28966_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1007608_RS_386_386RS289112_28966_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1008367_RS_386_386RS289112_32760_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1008367_RS_386_386RS289112_32760_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1008560_RS_386_386RS289112_33725_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1008560_RS_386_386RS289112_33725_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014583_RS_386_386RS124739_29840_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014583_RS_386_386RS124739_29840_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014584_RS_386_386RS124739_29845_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014584_RS_386_386RS124739_29845_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014585_RS_386_386RS124739_29850_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014585_RS_386_386RS124739_29850_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014586_RS_386_386RS124739_29855_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014586_RS_386_386RS124739_29855_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014587_RS_386_386RS124739_29860_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014587_RS_386_386RS124739_29860_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014603_RS_386_386RS124739_29940_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014603_RS_386_386RS124739_29940_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014604_RS_386_386RS124739_29945_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014604_RS_386_386RS124739_29945_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014609_RS_386_386RS124739_29970_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014609_RS_386_386RS124739_29970_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014610_RS_386_386RS124739_29975_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014610_RS_386_386RS124739_29975_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014611_RS_386_386RS124739_29980_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014611_RS_386_386RS124739_29980_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014612_RS_386_386RS124739_29985_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014612_RS_386_386RS124739_29985_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014613_RS_386_386RS124739_29990_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014613_RS_386_386RS124739_29990_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014615_RS_386_386RS124739_30000_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014615_RS_386_386RS124739_30000_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014616_RS_386_386RS124739_30005_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014616_RS_386_386RS124739_30005_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014617_RS_386_386RS124739_30010_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014617_RS_386_386RS124739_30010_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014618_RS_386_386RS124739_30015_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014618_RS_386_386RS124739_30015_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014619_RS_386_386RS124739_30020_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014619_RS_386_386RS124739_30020_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014620_RS_386_386RS124739_30026_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014620_RS_386_386RS124739_30026_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014621_RS_386_386RS124739_30030_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014621_RS_386_386RS124739_30030_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014622_RS_386_386RS124739_30035_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014622_RS_386_386RS124739_30035_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014623_RS_386_386RS124739_30040_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014623_RS_386_386RS124739_30040_RAW.jpg.npy
/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/cracks-and-potholes-in-road-DatasetNinja/ds0/img/1014626_RS_386_386RS124739_30055_RAW.jpg,/Users/anirudh/RoadConditionClassifier/FPGAProject/ml/preprocessed/grid_labels/1014626_RS_386_386RS124739_30055_RAW.jpg.npy
